0 0 0 ..OOOP..Z.BPAAZ.BP..........CC......
1 1 0 ..OOOP..Z..PAAZ.BP....B.....CC...... B99
1 1 0 ..OOOP..Z.BPAAZ.BP.........CC....... C99
1 1 0 ..OOOP..Z.BPAAZ.BP........CC........ C98
1 1 0 ..OOOP..Z.BPAAZ.BP.......CC......... C97
1 1 0 ..OOOP..Z.BPAAZ.BP......CC.......... C96
1 1 0 .OOO.P..Z.BPAAZ.BP..........CC...... O99
1 1 0 OOO..P..Z.BPAAZ.BP..........CC...... O98
1 1 0 ..OOO...Z.BPAAZ.BP.....P....CC...... P99
1 1 0 ..OOOP....BPAAZ.BP..Z.......CC...... Z99
1 1 0 ..OOOP....BPAA..BP..Z.....Z.CC...... Z98
1 1 0 ..OOOP....BPAA..BP........Z.CC..Z... Z97
2 2 0 ..OOOP..Z..PAAZ.BP....B....CC....... B99 C99
2 2 0 ..OOOP..Z..PAAZ.BP....B...CC........ B99 C98
2 2 0 ..OOOP..Z..PAAZ.BP....B..CC......... B99 C97
2 2 0 ..OOOP..Z..PAAZ.BP....B.CC.......... B99 C96
2 2 0 .OOO.P..Z..PAAZ.BP....B.....CC...... O99 B99
2 2 0 OOO..P..Z..PAAZ.BP....B.....CC...... O98 B99
2 2 0 ..OOO...Z..PAAZ.BP....BP....CC...... P99 B99
2 2 0 ..OOOP.....PAAZ.BP..Z.B.....CC...... Z99 B99
2 2 0 ..OOOP.....PAA..BP..Z.B...Z.CC...... Z98 B99
2 2 0 ..OOOP.....PAA..BP....B...Z.CC..Z... Z97 B99
2 2 0 .OOO.P..Z.BPAAZ.BP.........CC....... O99 C99
2 2 0 OOO..P..Z.BPAAZ.BP.........CC....... O98 C99
2 2 0 ..OOO...Z.BPAAZ.BP.....P...CC....... P99 C99
2 2 0 ..OOO...Z.B.AAZ.BP.....P...CCP...... P98 C99
2 2 0 ..OOO...Z.B.AAZ.B......P...CCP.....P P97 C99
2 2 0 ..OOOP....BPAAZ.BP..Z......CC....... Z99 C99
2 2 0 ..OOOP....BPAA..BP..Z.....ZCC....... Z98 C99
2 2 0 ..OOOP....BPAA..BP........ZCC...Z... Z97 C99
2 2 0 ..OOOP..Z..PAAZ..P....B...CCB....... B98 C98
2 2 0 ..OOOP..Z..PAAZ..P........CCB.....B. B97 C98
2 2 0 .OOO.P..Z.BPAAZ.BP........CC........ O99 C98
2 2 0 OOO..P..Z.BPAAZ.BP........CC........ O98 C98
2 2 0 ..OOO...Z.BPAAZ.BP.....P..CC........ P99 C98
2 2 0 ..OOO...Z.B.AAZ.BP.....P..CC.P...... P98 C98
2 2 0 ..OOO...Z.B.AAZ.B......P..CC.P.....P P97 C98
2 2 0 ..OOOP....BPAAZ.BP..Z.....CC........ Z99 C98
2 2 0 ..OOOP..Z..PAAZ..P....B..CC.B....... B98 C97
2 2 0 ..OOOP..Z..PAAZ..P.......CC.B.....B. B97 C97
2 2 0 .OOO.P..Z.BPAAZ.BP.......CC......... O99 C97
2 2 0 OOO..P..Z.BPAAZ.BP.......CC......... O98 C97
2 2 0 ..OOO...Z.BPAAZ.BP.....P.CC......... P99 C97
2 2 0 ..OOO...Z.B.AAZ.BP.....P.CC..P...... P98 C97
2 2 0 ..OOO...Z.B.AAZ.B......P.CC..P.....P P97 C97
2 2 0 ..OOOP....BPAAZ.BP..Z....CC......... Z99 C97
2 2 0 ..OOOP..Z..PAAZ..P....B.CC..B....... B98 C96
2 2 0 ..OOOP..Z..PAAZ..P......CC..B.....B. B97 C96
2 2 0 .OOO.P..Z.BPAAZ.BP......CC.......... O99 C96
2 2 0 OOO..P..Z.BPAAZ.BP......CC.......... O98 C96
2 2 0 ..OOO...Z.BPAAZ.BP.....PCC.......... P99 C96
2 2 0 ..OOO...Z.B.AAZ.BP.....PCC...P...... P98 C96
2 2 0 ..OOO...Z.B.AAZ.B......PCC...P.....P P97 C96
2 2 0 ..OOOP....BPAAZ.BP..Z...CC.......... Z99 C96
2 2 0 ..OOOP....BPAA..BP..Z...CCZ......... Z98 C96
2 2 0 ..OOOP....BPAA..BP......CCZ.....Z... Z97 C96
2 2 0 .OOOBP..Z.BPAAZ..P..........CC...... O99 B99
2 2 0 .OOO....Z.BPAAZ.BP.....P....CC...... O99 P99
2 2 0 .OOO.P....BPAAZ.BP..Z.......CC...... O99 Z99
2 2 0 .OOO.P....BPAA..BP..Z.....Z.CC...... O99 Z98
2 2 0 .OOO.P....BPAA..BP........Z.CC..Z... O99 Z97
2 2 0 OOO.BP..Z.BPAAZ..P..........CC...... O98 B99
2 2 0 OOO.....Z.BPAAZ.BP.....P....CC...... O98 P99
2 2 0 OOO..P....BPAAZ.BP..Z.......CC...... O98 Z99
2 2 0 OOO..P....BPAA..BP..Z.....Z.CC...... O98 Z98
2 2 0 OOO..P....BPAA..BP........Z.CC..Z... O98 Z97
2 2 0 ...OOO..Z.BPAAZ.BP.....P....CC...... O99 P99
2 2 0 ..OOO.....BPAAZ.BP..Z..P....CC...... P99 Z99
2 2 0 ..OOO.....BPAA..BP..Z..P..Z.CC...... P99 Z98
2 2 0 ..OOO.....BPAA..BP.....P..Z.CC..Z... P99 Z97
2 2 0 ..OOOP....BP.AA.BP..Z.....Z.CC...... Z98 A99
2 2 0 ..OOOP....BP..AABP..Z.....Z.CC...... Z98 A98
2 2 0 ..OOOP....BP.AA.BP........Z.CC..Z... Z97 A99
2 2 0 ..OOOP....BP..AABP........Z.CC..Z... Z97 A98
3 3 0 ..OOO.....B.AAZ.B...Z..P...CCP.....P P97 Z99 C99
3 3 0 ..OOO.....B.AA..B...Z..P..ZCCP.....P P97 Z98 C99
3 3 0 ..OOO.....B.AA..B......P..ZCCP..Z..P P97 Z97 C99
3 3 0 ..OOOP....BP.AA.BP..Z.....ZCC....... Z98 A99 C99
3 3 0 ..OOOP....BP..AABP..Z.....ZCC....... Z98 A98 C99
3 3 0 ..OOOP....BP.AA.BP........ZCC...Z... Z97 A99 C99
3 3 0 ..OOOP....BP..AABP........ZCC...Z... Z97 A98 C99
3 3 0 .OOO.P..Z..PAAZ..P....B...CCB....... O99 B98 C98
3 3 0 OOO..P..Z..PAAZ..P....B...CCB....... O98 B98 C98
3 3 0 ..OOO...Z..PAAZ..P....BP..CCB....... P99 B98 C98
3 3 0 ..OOO...Z...AAZ..P....BP..CCBP...... P98 B98 C98
3 3 0 ..OOO...Z...AAZ.......BP..CCBP.....P P97 B98 C98
3 3 0 ..OOOP.....PAAZ..P..Z.B...CCB....... Z99 B98 C98
3 3 0 .OOO.P..Z..PAAZ..P........CCB.....B. O99 B97 C98
3 3 0 OOO..P..Z..PAAZ..P........CCB.....B. O98 B97 C98
3 3 0 ..OOO...Z..PAAZ..P.....P..CCB.....B. P99 B97 C98
3 3 0 ..OOO...Z...AAZ..P.....P..CCBP....B. P98 B97 C98
3 3 0 ..OOO...Z...AAZ........P..CCBP....BP P97 B97 C98
3 3 0 ..OOOP.....PAAZ..P..Z.....CCB.....B. Z99 B97 C98
3 3 0 .OOOBP..Z.BPAAZ..P........CC........ O99 B99 C98
3 3 0 .OOO....Z.BPAAZ.BP.....P..CC........ O99 P99 C98
3 3 0 .OOO....Z.B.AAZ.BP.....P..CC.P...... O99 P98 C98
3 3 0 .OOO....Z.B.AAZ.B......P..CC.P.....P O99 P97 C98
3 3 0 .OOO.P....BPAAZ.BP..Z.....CC........ O99 Z99 C98
3 3 0 OOO.BP..Z.BPAAZ..P........CC........ O98 B99 C98
3 3 0 OOO.....Z.BPAAZ.BP.....P..CC........ O98 P99 C98
3 3 0 OOO.....Z.B.AAZ.BP.....P..CC.P...... O98 P98 C98
3 3 0 OOO.....Z.B.AAZ.B......P..CC.P.....P O98 P97 C98
3 3 0 OOO..P....BPAAZ.BP..Z.....CC........ O98 Z99 C98
3 3 0 ...OOO..Z.BPAAZ.BP.....P..CC........ O99 P99 C98
3 3 0 ..OOO.....BPAAZ.BP..Z..P..CC........ P99 Z99 C98
3 3 0 ...OOO..Z.B.AAZ.BP.....P..CC.P...... O99 P98 C98
3 3 0 ..OOO.....B.AAZ.BP..Z..P..CC.P...... P98 Z99 C98
3 3 0 ...OOO..Z.B.AAZ.B......P..CC.P.....P O99 P97 C98
3 3 0 ..OOO.....B.AAZ.B...Z..P..CC.P.....P P97 Z99 C98
3 3 0 .OOO.P..Z..PAAZ..P....B..CC.B....... O99 B98 C97
3 3 0 OOO..P..Z..PAAZ..P....B..CC.B....... O98 B98 C97
3 3 0 ..OOO...Z..PAAZ..P....BP.CC.B....... P99 B98 C97
3 3 0 ..OOO...Z...AAZ..P....BP.CC.BP...... P98 B98 C97
3 3 0 ..OOO...Z...AAZ.......BP.CC.BP.....P P97 B98 C97
3 3 0 ..OOOP.....PAAZ..P..Z.B..CC.B....... Z99 B98 C97
3 3 0 .OOO.P..Z..PAAZ..P.......CC.B.....B. O99 B97 C97
3 3 0 OOO..P..Z..PAAZ..P.......CC.B.....B. O98 B97 C97
3 3 0 ..OOO...Z..PAAZ..P.....P.CC.B.....B. P99 B97 C97
3 3 0 ..OOO...Z...AAZ..P.....P.CC.BP....B. P98 B97 C97
3 3 0 ..OOO...Z...AAZ........P.CC.BP....BP P97 B97 C97
3 3 0 ..OOOP.....PAAZ..P..Z....CC.B.....B. Z99 B97 C97
3 3 0 .OOOBP..Z.BPAAZ..P.......CC......... O99 B99 C97
3 3 0 .OOO....Z.BPAAZ.BP.....P.CC......... O99 P99 C97
3 3 0 .OOO....Z.B.AAZ.BP.....P.CC..P...... O99 P98 C97
3 3 0 .OOO....Z.B.AAZ.B......P.CC..P.....P O99 P97 C97
3 3 0 .OOO.P....BPAAZ.BP..Z....CC......... O99 Z99 C97
3 3 0 OOO.BP..Z.BPAAZ..P.......CC......... O98 B99 C97
3 3 0 OOO.....Z.BPAAZ.BP.....P.CC......... O98 P99 C97
3 3 0 OOO.....Z.B.AAZ.BP.....P.CC..P...... O98 P98 C97
3 3 0 OOO.....Z.B.AAZ.B......P.CC..P.....P O98 P97 C97
3 3 0 OOO..P....BPAAZ.BP..Z....CC......... O98 Z99 C97
3 3 0 ...OOO..Z.BPAAZ.BP.....P.CC......... O99 P99 C97
3 3 0 ..OOO.....BPAAZ.BP..Z..P.CC......... P99 Z99 C97
3 3 0 ...OOO..Z.B.AAZ.BP.....P.CC..P...... O99 P98 C97
3 3 0 ..OOO.....B.AAZ.BP..Z..P.CC..P...... P98 Z99 C97
3 3 0 ...OOO..Z.B.AAZ.B......P.CC..P.....P O99 P97 C97
3 3 0 ..OOO.....B.AAZ.B...Z..P.CC..P.....P P97 Z99 C97
3 3 0 .OOO.P..Z..PAAZ..P....B.CC..B....... O99 B98 C96
3 3 0 OOO..P..Z..PAAZ..P....B.CC..B....... O98 B98 C96
3 3 0 ..OOO...Z..PAAZ..P....BPCC..B....... P99 B98 C96
3 3 0 ..OOO...Z...AAZ..P....BPCC..BP...... P98 B98 C96
3 3 0 ..OOO...Z...AAZ.......BPCC..BP.....P P97 B98 C96
3 3 0 ..OOOP.....PAAZ..P..Z.B.CC..B....... Z99 B98 C96
3 3 0 ..OOOP.....PAA...P..Z.B.CCZ.B....... Z98 B98 C96
3 3 0 ..OOOP.....PAA...P....B.CCZ.B...Z... Z97 B98 C96
3 3 0 .OOO.P..Z..PAAZ..P......CC..B.....B. O99 B97 C96
3 3 0 OOO..P..Z..PAAZ..P......CC..B.....B. O98 B97 C96
3 3 0 ..OOO...Z..PAAZ..P.....PCC..B.....B. P99 B97 C96
3 3 0 ..OOO...Z...AAZ..P.....PCC..BP....B. P98 B97 C96
3 3 0 ..OOO...Z...AAZ........PCC..BP....BP P97 B97 C96
3 3 0 ..OOOP.....PAAZ..P..Z...CC..B.....B. Z99 B97 C96
3 3 0 ..OOOP.....PAA...P..Z...CCZ.B.....B. Z98 B97 C96
3 3 0 ..OOOP.....PAA...P......CCZ.B...Z.B. Z97 B97 C96
3 3 0 .OOOBP..Z.BPAAZ..P......CC.......... O99 B99 C96
3 3 0 .OOO....Z.BPAAZ.BP.....PCC.......... O99 P99 C96
3 3 0 .OOO....Z.B.AAZ.BP.....PCC...P...... O99 P98 C96
3 3 0 .OOO....Z.B.AAZ.B......PCC...P.....P O99 P97 C96
3 3 0 .OOO.P....BPAAZ.BP..Z...CC.......... O99 Z99 C96
3 3 0 .OOO.P....BPAA..BP..Z...CCZ......... O99 Z98 C96
3 3 0 .OOO.P....BPAA..BP......CCZ.....Z... O99 Z97 C96
3 3 0 OOO.BP..Z.BPAAZ..P......CC.......... O98 B99 C96
3 3 0 OOO.....Z.BPAAZ.BP.....PCC.......... O98 P99 C96
3 3 0 OOO.....Z.B.AAZ.BP.....PCC...P...... O98 P98 C96
3 3 0 OOO.....Z.B.AAZ.B......PCC...P.....P O98 P97 C96
3 3 0 OOO..P....BPAAZ.BP..Z...CC.......... O98 Z99 C96
3 3 0 OOO..P....BPAA..BP..Z...CCZ......... O98 Z98 C96
3 3 0 OOO..P....BPAA..BP......CCZ.....Z... O98 Z97 C96
3 3 0 ...OOO..Z.BPAAZ.BP.....PCC.......... O99 P99 C96
3 3 0 ..OOO.....BPAAZ.BP..Z..PCC.......... P99 Z99 C96
3 3 0 ..OOO.....BPAA..BP..Z..PCCZ......... P99 Z98 C96
3 3 0 ..OOO.....BPAA..BP.....PCCZ.....Z... P99 Z97 C96
3 3 0 ...OOO..Z.B.AAZ.BP.....PCC...P...... O99 P98 C96
3 3 0 ..OOO.....B.AAZ.BP..Z..PCC...P...... P98 Z99 C96
3 3 0 ..OOO.....B.AA..BP..Z..PCCZ..P...... P98 Z98 C96
3 3 0 ..OOO.....B.AA..BP.....PCCZ..P..Z... P98 Z97 C96
3 3 0 ...OOO..Z.B.AAZ.B......PCC...P.....P O99 P97 C96
3 3 0 ..OOO.....B.AAZ.B...Z..PCC...P.....P P97 Z99 C96
3 3 0 ..OOO.....B.AA..B...Z..PCCZ..P.....P P97 Z98 C96
3 3 0 ..OOO.....B.AA..B......PCCZ..P..Z..P P97 Z97 C96
3 3 0 ..OOOP....BP.AA.BP..Z...CCZ......... Z98 A99 C96
3 3 0 ..OOOP....BP..AABP..Z...CCZ......... Z98 A98 C96
3 3 0 ..OOOP....BP.AA.BP......CCZ.....Z... Z97 A99 C96
3 3 0 ..OOOP....BP..AABP......CCZ.....Z... Z97 A98 C96
3 3 0 .OOOB...Z.BPAAZ..P.....P....CC...... O99 P99 B99
3 3 0 .OOOBP....BPAAZ..P..Z.......CC...... O99 Z99 B99
3 3 0 .OOOBP....BPAA...P..Z.....Z.CC...... O99 Z98 B99
3 3 0 .OOOBP....BPAA...P........Z.CC..Z... O99 Z97 B99
3 3 0 .OOO......BPAAZ.BP..Z..P....CC...... O99 P99 Z99
3 3 0 .OOO......BPAA..BP..Z..P..Z.CC...... O99 P99 Z98
3 3 0 .OOO......BPAA..BP.....P..Z.CC..Z... O99 P99 Z97
3 3 0 .OOO.P....BP.AA.BP..Z.....Z.CC...... O99 Z98 A99
3 3 0 .OOO.P....BP..AABP..Z.....Z.CC...... O99 Z98 A98
3 3 0 .OOO.P....BP.AA.BP........Z.CC..Z... O99 Z97 A99
3 3 0 .OOO.P....BP..AABP........Z.CC..Z... O99 Z97 A98
3 3 0 OOO.B...Z.BPAAZ..P.....P....CC...... O98 P99 B99
3 3 0 OOO.BP....BPAAZ..P..Z.......CC...... O98 Z99 B99
3 3 0 OOO.BP....BPAA...P..Z.....Z.CC...... O98 Z98 B99
3 3 0 OOO.BP....BPAA...P........Z.CC..Z... O98 Z97 B99
3 3 0 OOO.......BPAAZ.BP..Z..P....CC...... O98 P99 Z99
3 3 0 OOO.......BPAA..BP..Z..P..Z.CC...... O98 P99 Z98
3 3 0 OOO.......BPAA..BP.....P..Z.CC..Z... O98 P99 Z97
3 3 0 OOO..P....BP.AA.BP..Z.....Z.CC...... O98 Z98 A99
3 3 0 OOO..P....BP..AABP..Z.....Z.CC...... O98 Z98 A98
3 3 0 OOO..P....BP.AA.BP........Z.CC..Z... O98 Z97 A99
3 3 0 OOO..P....BP..AABP........Z.CC..Z... O98 Z97 A98
3 3 0 ..ZOOO..Z.BPAA..BP.....P....CC...... O99 P99 Z99
3 3 0 ...OOO....BPAAZ.BP..Z..P....CC...... O99 P99 Z99
3 3 0 ...OOO....BPAA..BP..Z..P..Z.CC...... O99 P99 Z98
3 3 0 ...OOO....BPAA..BP.....P..Z.CC..Z... O99 P99 Z97
3 3 0 ..OOO.....BP.AA.BP..Z..P..Z.CC...... P99 Z98 A99
3 3 0 ..OOO.....BP..AABP..Z..P..Z.CC...... P99 Z98 A98
3 3 0 ..OOO.....BP.AA.BP.....P..Z.CC..Z... P99 Z97 A99
3 3 0 ..OOO.....BP..AABP.....P..Z.CC..Z... P99 Z97 A98
4 4 0 .OOO....Z..PAAZ.BP....BP...CC....... O99 P99 B99 C99
